id,label,heuristicLabel,keywords,description,enrichedBy,cohesion,symbolCount
"comm_5","Services","Services",[],"","heuristic",0.7407407407407407,16
"comm_51","Services","Services",[],"","heuristic",0.6428571428571429,16
"comm_42","Services","Services",[],"","heuristic",0.75,14
"comm_53","Services","Services",[],"","heuristic",0.7894736842105263,14
"comm_32","Services","Services",[],"","heuristic",0.7906976744186046,13
"comm_58","Services","Services",[],"","heuristic",0.5925925925925926,13
"comm_34","Api","Api",[],"","heuristic",0.5925925925925926,12
"comm_62","Services","Services",[],"","heuristic",0.7096774193548387,12
"comm_37","Services","Services",[],"","heuristic",0.6341463414634146,11
"comm_68","Services","Services",[],"","heuristic",0.6666666666666666,11
"comm_18","Scripts","Scripts",[],"","heuristic",0.8695652173913043,10
"comm_57","Api","Api",[],"","heuristic",0.7027027027027027,10
"comm_63","Services","Services",[],"","heuristic",0.6206896551724138,10
"comm_77","Models","Models",[],"","heuristic",0.7407407407407407,10
"comm_27","Api","Api",[],"","heuristic",1,9
"comm_19","Scripts","Scripts",[],"","heuristic",0.9523809523809523,8
"comm_26","Api","Api",[],"","heuristic",0.2641509433962264,8
"comm_29","Services","Services",[],"","heuristic",0.8235294117647058,8
"comm_41","Services","Services",[],"","heuristic",0.5625,8
"comm_45","Services","Services",[],"","heuristic",0.6451612903225806,8
"comm_48","Services","Services",[],"","heuristic",0.6666666666666666,8
"comm_66","Services","Services",[],"","heuristic",0.6428571428571429,8
"comm_73","Services","Services",[],"","heuristic",0.7619047619047619,8
"comm_76","Api","Api",[],"","heuristic",0.4827586206896552,8
"comm_78","Models","Models",[],"","heuristic",0.5714285714285714,8
"comm_0","App","App",[],"","heuristic",0.9230769230769231,7
"comm_2","Services","Services",[],"","heuristic",0.8235294117647058,7
"comm_7","Scripts","Scripts",[],"","heuristic",0.9230769230769231,7
"comm_13","Scripts","Scripts",[],"","heuristic",0.9230769230769231,7
"comm_39","Services","Services",[],"","heuristic",0.8,7
"comm_52","Api","Api",[],"","heuristic",0.8,7
"comm_55","Services","Services",[],"","heuristic",0.5714285714285714,7
"comm_69","Services","Services",[],"","heuristic",0.6666666666666666,7
"comm_72","Services","Services",[],"","heuristic",0.6666666666666666,7
"comm_8","Scripts","Scripts",[],"","heuristic",0.9411764705882353,6
"comm_14","Scripts","Scripts",[],"","heuristic",0.9411764705882353,6
"comm_20","Scripts","Scripts",[],"","heuristic",0.45454545454545453,6
"comm_22","Scripts","Scripts",[],"","heuristic",0.45454545454545453,6
"comm_28","Services","Services",[],"","heuristic",0.6363636363636364,6
"comm_31","Services","Services",[],"","heuristic",0.8571428571428571,6
"comm_36","Services","Services",[],"","heuristic",0.6,6
"comm_49","Services","Services",[],"","heuristic",0.625,6
"comm_67","Services","Services",[],"","heuristic",0.5217391304347826,6
"comm_21","Scripts","Scripts",[],"","heuristic",0.8,5
"comm_30","Services","Services",[],"","heuristic",0.4444444444444444,5
"comm_38","Services","Services",[],"","heuristic",0.5333333333333333,5
"comm_40","Services","Services",[],"","heuristic",0.7692307692307693,5
"comm_46","Services","Services",[],"","heuristic",0.5,5
"comm_50","Services","Services",[],"","heuristic",0.8,5
"comm_1","App","App",[],"","heuristic",0.8571428571428571,4
"comm_4","Scripts","Scripts",[],"","heuristic",1,4
"comm_11","Scripts","Scripts",[],"","heuristic",1,4
"comm_33","Services","Services",[],"","heuristic",0.47058823529411764,4
"comm_35","Services","Services",[],"","heuristic",0.375,4
"comm_44","Services","Services",[],"","heuristic",0.6153846153846154,4
"comm_47","Api","Api",[],"","heuristic",0.42857142857142855,4
"comm_60","Services","Services",[],"","heuristic",0.8888888888888888,4
"comm_64","Services","Services",[],"","heuristic",1,4
"comm_70","Services","Services",[],"","heuristic",0.8571428571428571,4
"comm_71","Services","Services",[],"","heuristic",0.8571428571428571,4
"comm_24","Scripts","Scripts",[],"","heuristic",1,3
"comm_61","Services","Services",[],"","heuristic",1,3
"comm_9","Scripts","Scripts",[],"","heuristic",1,2
"comm_15","Scripts","Scripts",[],"","heuristic",1,2
"comm_25","Scripts","Scripts",[],"","heuristic",1,2
"comm_43","Services","Services",[],"","heuristic",1,2
"comm_54","Services","Services",[],"","heuristic",1,2
"comm_59","Services","Services",[],"","heuristic",1,2
"comm_65","Services","Services",[],"","heuristic",1,2
"comm_75","Models","Models",[],"","heuristic",1,2
